Conjugation Template,Ending Class ▶,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Verb Class ▼,Examples,거나,니까,어야,고는,리만치,아야,으나,습니다,건대,십시오,아다,느냐,으라고,는다,어다,구나,뇨,ㄴ가,다더라,으냐,에요,로구려,너라,여야
1,있,"(,,)",,"(,,)","(,,)",,,"(,,)","(,,)","(,,)",,,"(,,)","(,,)","(,,)",,"(,,)",,,,,,,,
2,계시,"(,,)","(,,)","(,,)","(,,)","(,,)",,,,"(,,)","(,,)",,"(,,)",,,,"(,,)","(,,)","(,,)",,,,,,
3,원하,"(,,)","(,,)",,"(,,)","(,,)",,,,"(,,)","(,,)",,"(,,)",,,,,,,,,,,,"(,,1)"
4,오,"(,,)","(,,)",,"(,,)","(,,)","(,,1)",,,"(,,)","(,,)","(,,1)","(,,)",,,,,,,,,,,"(,,)",
5,그러,"(,,)","(,,)","(-1,ᅢ,2)","(,,)","(,,)",,,,"(,,)","(,,)",,"(,,)",,,"(,,2)",,,"(,,)",,,,,,
6,이르,"(,,)","(,,)","(,ᄅ,1)","(,,)","(,,)",,,,"(,,)","(,,)",,"(,,)",,,"(,ᄅ,1)",,,,,,,,,
7,없,"(,,)",,"(,,)","(,,)",,,"(,,)","(,,)",,,,"(,,)",,,,"(,,)",,,,,,,,
8,그렇,"(,,)",,"(-2,ᅢ,2)","(,,)",,,"(-1,,2)","(,,)",,,,,,,,"(,,)",,,"(,,)","(-1,,2)",,,,
9,강하,"(,,)","(,,)",,"(,,)","(,,)",,,,,,,,,,,"(,,)","(,,)","(,,)","(,,)",,,,,"(,,1)"
10,아니,"(,,)","(,,)","(,,)","(,,)","(,,)",,,,,,,,,,,"(,,)","(,,)","(,,)","(,,)",,"(,,)","(,,)",,
11,아프,"(,,)","(,,)","(-1,ᅡ,2)","(,,)","(,,)",,,,,,,,,,,"(,,)","(,,)","(,,)","(,,)",,,,,
12,기쁘,"(,,)","(,,)","(-1,,1)","(,,)","(,,)",,,,,,,,,,,"(,,)","(,,)","(,,)","(,,)",,,,,
13,푸르,"(,,)","(,,)","(,ᄅ,1)","(,,)","(,,)",,,,,,,,,,,"(,,)","(,,)","(,,)","(,,)",,,,,
14,이,"(,,)","(,,)","(,,)",,,,,,,,,,,,,"(,,)","(,,)","(,,)",,,"(,,)","(,,)",,
15,알,"(,,)","(-1,,)",,"(,,)","(-1,,)","(,,)",,,"(,,)","(-1,,)","(,,)","(,,)",,,,,,,,,,,,
16,열,"(,,)","(-1,,)","(,,)","(,,)","(-1,,)",,,,"(,,)","(-1,,)",,"(,,)",,,"(,,)",,,,,,,,,
17,잡,"(,,)",,,"(,,)",,"(,,)","(,,)","(,,)","(,,)",,"(,,)","(,,)","(,,)","(,,)",,,,,,,,,,
18,웃,"(,,)",,"(,,)","(,,)",,,"(,,)","(,,)","(,,)",,,"(,,)","(,,)","(,,)","(,,)",,,,,,,,,
19,깨닫,"(,,)",,,"(,,)",,"(-1,ᆯ,)","(-1,ᆯ,)","(,,)","(,,)",,"(-1,ᆯ,)","(,,)","(-1,ᆯ,)","(,,)",,,,,,,,,,
20,듣,"(,,)",,"(-1,ᆯ,)","(,,)",,,"(-1,ᆯ,)","(,,)","(,,)",,,"(,,)","(-1,ᆯ,)","(,,)","(-1,ᆯ,)",,,,,,,,,
21,돕,"(,,)",,,"(,,)",,"(-1,와,2)","(-1,우,2)","(,,)","(,,)",,"(-1,와,2)","(,,)","(-1,우,2)","(,,)",,,,,,,,,,
22,눕,"(,,)",,"(-1,워,2)","(,,)",,,"(-1,우,2)","(,,)","(,,)",,,"(,,)","(-1,우,2)","(,,)","(-1,워,2)",,,,,,,,,
23,낫,"(,,)",,,"(,,)",,"(-1,,)","(-1,,)","(,,)","(,,)",,"(-1,,)","(,,)","(-1,,)","(,,)",,,,,,,,,,
24,긋,"(,,)",,"(-1,,)","(,,)",,,"(-1,,)","(,,)","(,,)",,,"(,,)","(-1,,)","(,,)","(-1,,)",,,,,,,,,
25,고르,"(,,)","(,,)",,"(,,)","(,,)",,,,"(,,)","(,,)",,"(,,)",,,"(-2,ᆯ라,2)",,,,,,,,,
26,부르,"(,,)","(,,)","(-2,ᆯᄅ,1)","(,,)","(,,)",,,,"(,,)","(,,)",,"(,,)",,,"(-2,ᆯᄅ,1)",,,,,,,,,
27,차,"(,,)","(,,)",,"(,,)","(,,)","(,,1)",,,"(,,)","(,,)","(,,1)","(,,)",,,,,,,,,,,,
28,주,"(,,)","(,,)","(,,1)","(,,)","(,,)",,,,"(,,)","(,,)",,"(,,)",,,"(,,1)",,,,,,,,,
29,담그,"(,,)","(,,)","(-1,ᅡ,2)","(,,)","(,,)",,,,"(,,)","(,,)",,"(,,)",,,"(-1,ᅡ,2)",,,,,,,,,
30,끄,"(,,)","(,,)","(-1,,1)","(,,)","(,,)",,,,"(,,)","(,,)",,"(,,)",,,"(-1,,1)",,,,,,,,,
31,달,"(,,)","(-1,,)",,"(,,)","(-1,,)","(,,)",,,,,,,,,,"(,,)",,"(-1,,)","(,,)",,,,,
