token,frequency
",",170
의,104
학생,101
을,82
.,80
광주,76
들,68
에,56
이,56
은,40
독립운동,40
),40
(,35
과,31
를,30
으로,30
운동,29
"""",25
등,25
학교,22
시위,21
학생운동,21
항일,20
것,17
지역,17
11월,17
로,17
여,16
적,16
12월,16
조선인,16
명,16
할,15
하였다,15
는,15
일제,14
에서,14
회,13
일본,12
일본인,12
하는,12
한,12
하고,12
1929년,12
가,11
"""(",10
고,10
하여,10
지,10
신간회,10
대한,10
확산,10
전국,9
서울,9
여학생,9
되었다,9
인,9
성,9
동맹,9
보통학교,8
',8
와,8
제,8
청년,7
3일,7
된다,7
단체,7
했다,7
여자,7
고등,7
2011년,7
투쟁,7
연,7
구단,7
1930년,7
기념,6
만세,6
에도,6
참여,6
차별,6
경찰,6
각,6
경성,6
에는,6
허정숙,6
조직,6
한국,6
까지,6
되어,6
민족,6
재일조선인,6
이후,6
길,6
시위운동,6
김홍,6
당시,5
체포,5
·,5
회의,5
그,5
외,5
에서도,5
국내,5
탄압,5
1,5
보,5
일제강점기,5
사,5
경,5
속,5
통해,5
사건,5
있었다,5
배후,5
휴학,5
호,5
2,5
진회,5
해외,5
식민지,5
중학생,4
또한,4
중앙,4
개,4
2월,4
혐의,4
수,4
김성민,4
2014,4
동인,4
출판,4
문화원,4
억압,4
대해,4
성격,4
활동,4
기,4
"),",4
이었다,4
도,4
하였고,4
에게,4
장재성,4
10월,4
된,4
독립,4
말,4
항의,4
대,4
3,4
조선일보,4
만,4
그리고,4
참가,4
-,4
하,4
장,4
국제,4
예,4
경우,3
자료,3
2006년,3
주요,3
갖고,3
계획,3
지지,3
명의,3
우리,3
이를,3
30,3
한국인,3
농,3
가담,3
구속,3
국,3
우민화,3
부산,3
규모,3
6월,3
무시,3
에서는,3
1989년,3
충돌,3
한편,3
하게,3
폭발,3
차,3
에게는,3
정책,3
문,3
나주,3
행동,3
"!,",3
있다,3
관련,3
월간,3
주,3
20일,3
13일,3
9일,3
각종,3
간부,3
한다는,3
확대,3
송진우,3
장홍염,3
비밀,3
통학,3
분노,3
동래,3
진상,3
사회주의,3
하기,3
독서,3
위해,3
장석,3
한다,3
1927년,3
동아일보,3
간,3
총독부,3
중국,3
되고,3
부터,3
거쳐,2
시내,2
일어난,2
사업,2
10,2
왕,2
재일,2
:,2
미국,2
되었고,2
난투극,2
축하,2
다른,2
3월,2
이나,2
5월,2
기념관,2
2009년,2
朝鮮總督部警務局,2
희롱,2
해,2
허헌,2
김병로,2
한용운,2
됐다,2
세력,2
1926년,2
천,2
전말,2
동참,2
호소,2
조병옥,2
조종,2
및,2
선동,2
배화여전,2
노동,2
설립,2
여러,2
지도자,2
에게도,2
반영,2
에서의,2
