token,frequency
.,1928
을,1885
의,1733
",",1674
이,1336
에,1264
를,942
은,842
는,642
으로,637
(,623
과,518
),515
가,506
들,473
로,395
한,393
일본,358
하였다,346
에서,340
와,335
등,333
했다,320
적,318
것,294
하고,270
하여,265
조선,234
되었다,233
인,225
하는,196
그,175
된,161
운동,156
',153
에는,152
할,147
도,140
·,138
대,136
이후,127
에게,122
한국,119
수,115
그러나,110
때,105
세력,102
대한,99
한다,94
있다,93
한국인,93
되어,93
해,89
고,82
사건,82
이다,79
에서는,79
고구려,79
또한,76
제,76
까지,75
일본인,74
정부,71
명,71
전쟁,71
여,69
당시,69
명성황후,68
독립,67
부터,67
‘,67
1,67
위해,67
국가,67
한편,66
어보,66
《,65
및,65
전,64
한반도,63
자,63
중국,62
시대,61
사회,61
서,61
뒤,60
된다,60
중,60
하,59
고려,59
10월,58
3,57
》,57
위,57
문화,57
이었다,56
일제,56
미우라,56
민족,56
주장,55
창씨개명,55
조선총독부,55
"),",55
하기,54
정치,54
:,54
대해,54
군,54
고종,53
공사,53
이혼,53
주,53
하였고,52
시기,52
있었다,51
후,51
조약,49
정책,49
지,49
하게,49
일본군,49
세기,49
시작,48
있는,48
통해,48
중심,48
공,48
그리고,47
지역,46
신라,46
시해,46
못,46
경,46
하지,46
2,45
미국,45
일,45
청,45
성,45
나,45
하면서,44
대신,44
지방,44
기록,44
러시아,44
사용,44
통치,43
일부,43
이를,43
사람,42
에도,42
조선인,42
요구,41
’,41
"""",41
되고,41
당,40
되는,40
농민,40
왕,40
이라는,40
-,40
수립,40
다,39
암살,39
제국,39
화,39
말,38
좌우합작,38
시,38
”,38
“,38
활동,37
되었고,37
무,37
대한민국,37
조,37
1920년,37
낭인,37
다시,37
에서도,37
이러한,36
흥선대원군,36
때문,36
청국,36
문제,36
설치,36
지배,36
기원전,35
이나,35
체결,35
낙랑군,34
을미사변,34
여성,34
속,34
외교,34
파견,34
교육,34
부,34
대한제국,33
내,33
경제,33
강화,32
동,32
조직,32
따라,32
단체,32
요청,32
사관,32
하였으며,32
세,32
토지,31
고종은,31
식민지,31
반대,31
보고,31
이토,31
대원군,31
관,31
8월,31
왕후,31
하며,30
계획,30
의해,30
역사,30
학교,30
결국,30
백제,30
이라고,29
명의,29
전개,29
원,29
각,29
전국,29
황후,29
측,29
임시정부,29
체제,29
라는,29
라고,28
국내,28
4월,28
라,28
권,28
함,28
같은,28
경찰,28
하기도,28
구,28
경복궁,28
일본어,28
영토,27
개혁,27
한국사,27
9월,27
내각,27
했고,27
으로써,27
고조선,26
하자,26
낙랑,26
이홍장,26
였다,26
약,26
되면서,26
비,26
많은,26
받아,26
1930년,26
황제,26
않았다,26
관계,26
4,26
두,26
1월,26
사이,26
제작,26
함께,26
영국,25
중앙,25
유지,25
모두,25
사실,25
설립,25
과의,25
회의,25
1945년,25
유길준,25
왕실,25
본,24
간섭,24
계속,24
한사군,24
투쟁,24
큰,24
1910년,24
발표,24
등장,24
증가,24
더욱,24
기도,24
비롯,24
훈련,23
하던,23
유적,23
총독,23
6월,23
여러,23
이는,23
다음,23
의병,23
내용,23
나라,23
확인,23
또,23
점,23
회,23
대부분,23
자신,23
윤치호,23
일대,23
인사,23
해방,23
으로는,23
신,23
만주,23
직후,23
사,23
1940년,23
발해,23
총독부,22
개,22
인구,22
되자,22
김홍집,22
대표,22
성립,22
만,22
있던,22
관련,22
하였으나,22
알,22
결과,22
이유,22
부여,22
한다고,22
학생,22
고로,22
계열,21
이라,21
김규식,21
계,21
특히,21
간,21
김성수,21
출신,21
가담,21
5월,21
새벽,21
초기,21
강제,21
히,21
자료,21
경우,21
제도,21
)·,21
위원회,21
12월,21
2월,20
건국,20
히로,20
게,20
참정권,20
통상,20
인해,20
차,20
리,20
실시,20
직접,20
으로부터,20
결정,20
발전,20
참여,20
해당,20
상,19
하나,19
발견,19
김구,19
이름,19
무장,19
곳,19
하였는데,19
총,19
정도,19
무렵,19
먼저,19
반,19
전권,19
해야,19
1일,19
과정,19
입장,19
반발,19
존재,19
강요,19
신고,19
헌병,19
자본,19
왕비,19
협력,19
어책,19
통일,19
1895년,19
지원,18
지식인,18
따르면,18
3월,18
10,18
력,18
7월,18
옥,18
거부,18
장,18
수비대,18
될,18
이어,18
내부,18
위치,18
가장,18
근대,18
부족,18
궁궐,18
확산,18
육군,18
두고,18
일제강점기,17
천황,17
식,17
11월,17
이상,17
항일,17
외,17
침략,17
한다는,17
요동,17
쓰는,17
층,17
유물,17
결성,17
지적,17
읍,17
교섭,17
살해,17
해서,17
정권,17
지휘,17
되지,16
〉,16
외부,16
기관,16
구성,16
각종,16
혁명,16
추진,16
노력,16
했으나,16
같이,16
배상금,16
친일,16
하도록,16
진행,16
군주,16
소의,16
점령,16
양,16
연구,16
데,16
시모노세키,16
사상,16
했던,16
역할,16
신문,16
탄압,16
)’,16
방법,16
면,16
한국어,16
자주,16
다른,16
시행,15
상황,15
광화문,15
신탁통치,15
했다는,15
혹은,15
세계,15
중반,15
독립운동,15
결혼,15
론,15
혼란,15
또는,15
의원,15
국민,15
노동,15
되었으나,15
귀족원,15
내정,15
승리,15
문,15
1919년,15
재정,15
차별,15
정비,15
조합,15
준비,15
모집,15
종교,15
태평양,15
령,15
군부,15
로서,15
지로,15
영향,15
단,15
오,15
쓰,15
인정,15
방,15
시켜,15
군인,15
없었다,15
본국,15
확보,15
이노우에,15
생활,15
시켰다,15
크게,15
사망,15
공격,15
미,15
장악,15
가와,15
독일,15
이며,15
날,15
현,15
이전,14
안,14
노동자,14
국왕,14
전달,14
도움,14
하고자,14
삼국,14
제안,14
호,14
동아일보,14
주의,14
더,14
측은,14
역시,14
앞,14
국,14
평양,14
위안부,14
).,14
병합,14
~,14
그것,14
1896년,14
건,14
궁녀,14
실행,14
즉위,14
비판,14
임금,14
집권,14
기반,14
총리,14
요,14
이었던,14
6,14
스케,14
진출,14
초,14
카미,14
아래,14
점차,14
5,14
우익,14
서울,14
발굴,14
미군정,14
정보,14
문서,14
기술,13
후기,13
주변,13
통,13
로부터,13
당국,13
조정,13
군대,13
여운형,13
1946년,13
나갔다,13
형태,13
이용,13
왕권,13
조사,13
차례,13
새로운,13
대만,13
히로시마,13
않고,13
갔다,13
이르러,13
선언,13
되었으며,13
궁,13
동원,13
연맹,13
생각,13
가야,13
지시,13
아들,13
휴전,13
않아,13
적극,13
삼한,13
계승,13
한일,13
형성,13
설,13
계몽,13
대에,13
17일,13
작전,13
박영효,13
달,13
농촌,13
오카모토,13
열강,13
프랑스,13
대립,13
스,13
무역,13
언론,13
현도군,13
수용,12
사절,12
번,12
자발,12
목적,12
불구,12
했는데,12
백,12
되었는데,12
기,12
생,12
동안,12
여론,12
미나미,12
며,12
시위,12
받고,12
남편,12
하다가,12
폐지,12
동맹,12
편찬,12
1만,12
정,12
출토,12
명칭,12
했다고,12
기준,12
차관,12
주재,12
합의,12
위만조선,12
의회,12
대의,12
대로,12
이미,12
지는,12
본격,12
주도,12
서는,12
집단,12
사업,12
했으며,12
행정,12
신간회,12
계기,12
서로,12
처리,12
기무라,12
양성,12
되었던,12
가지,12
회담,12
우산국,12
마한,12
의사,12
대학,12
군사,12
주로,12
거,12
연해주,11
주요,11
이고,11
기사,11
대방군,11
규정,11
이광수,11
8일,11
근거,11
부대,11
경쟁률,11
의한,11
하면,11
음,11
범행,11
보고서,11
서인,11
모든,11
하여금,11
순사,11
보장,11
보통,11
안재홍,11
의미,11
광서제,11
우리,11
광고,11
임명,11
항복,11
세금,11
마련,11
있었으며,11
관리,11
였던,11
단독,11
명령,11
건청궁,11
논란,11
사바틴,11
경비,11
남부,11
거나,11
최초,11
광복,11
민족주의,11
옥저,11
중단,11
명분,10
좌우,10
아문,10
기간,10
전체,10
금,10
여기,10
각지,10
15일,10
힘,10
철기,10
지금,10
실제,10
전기,10
신석기,10
동아시아,10
침입,10
멸망,10
하였지만,10
금지,10
물론,10
용,10
상징,10
공식,10
들어,10
년,10
조선군,10
소유,10
망명,10
왕조,10
소국,10
1941년,10
전후,10
사후,10
보급,10
호칭,10
외왕내제,10
1924년,10
왕국,10
파,10
거절,10
확립,10
9일,10
국제,10
이남,10
무단,10
상태,10
발,10
진입,10
달리,10
해결,10
들은,10
뜻,10
온,10
일반,10
대에는,10
총영사,10
5일,10
1921년,10
코,10
참모,10
스노,10
국사,10
의견,10
통제,10
방침,10
기존,10
권력,10
북경,10
하는데,10
씨,10
성격,10
독립군,10
공포,10
수도,10
차병,10
친일파,10
네미,10
전통,10
청일전쟁,10
보기,10
20,10
고대,9
20일,9
바탕,9
사전,9
동전,9
미소공위,9
당나라,9
전투,9
송진우,9
되었다는,9
자유,9
피신,9
있었고,9
완성,9
위기,9
불교,9
해산,9
되,9
모토,9
뿐,9
소위,9
해도,9
존속,9
간도,9
해외,9
의식,9
개월,9
4시,9
중좌,9
단행,9
조건,9
지지,9
영사관,9
출판,9
대륙,9
우범선,9
담당,9
호소,9
좌,9
있는데,9
인지,9
거의,9
보도,9
귀족,9
산업,9
체포,9
내지,9
청년,9
무죄,9
공덕,9
비난,9
19,9
아니라,9
현상,9
징용,9
에서의,9
와의,9
논의,9
연합,9
아울러,9
산,9
연애,9
교역,9
금보,9
증언,9
도금,9
발생,9
외상,9
타협,9
많았다,9
유역,9
사례,9
제한,9
보호,9
허가,9
박물관,9
끝,9
민주주의,9
북부,9
에게는,9
가운데,9
시키는,9
책봉,9
선거,9
구석기,9
지속,9
현재,9
수많은,9
으로서,9
남북,9
건설,9
조칙,9
영,9
시간,9
지목,9
26일,9
청나라,9
없이,9
견제,9
기구,9
주의자,9
양국,9
임,9
제기,9
유입,8
백성,8
흡수,8
민간인,8
시키고,8
대적,8
지주,8
1918년,8
강연,8
라며,8
・,8
되면,8
없다고,8
여자,8
제공,8
변화,8
까지의,8
독자,8
야,8
보관,8
없는,8
시험,8
최종,8
야마,8
지도,8
였고,8
배후,8
방면,8
채택,8
생산,8
하려,8
임시,8
제정,8
10일,8
대대장,8
오전,8
조희연,8
8,8
개입,8
3일,8
대응,8
반도,8
있었던,8
하려는,8
흉,8
로는,8
하였던,8
이끄는,8
폭도,8
스스로,8
남쪽,8
직,8
우,8
보낸,8
회사,8
시도,8
보다,8
문관,8
잘,8
여부,8
보내어,8
of,8
각주,8
유민,8
군현,8
한나라,8
연합군,8
아닌,8
평가,8
한성,8
불러,8
을미,8
아관파천,8
해서는,8
중일전쟁,8
방문,8
동예,8
광복군,8
제외,8
각각,8
반환,8
의례,8
서양,8
민중,8
공장,8
차지,8
집,8
있었으나,8
30일,8
대중,8
통합,8
확대,8
간의,8
등지,8
봉,8
이렇게,8
원인,8
없다,8
연호,8
저항,8
중의원,8
생문,8
1926년,8
도착,8
왕위,8
포위,8
이승,8
장인,8
한강,8
춘,8
정조,8
인물,8
베베르,8
칼,8
냥,8
황,8
통한,8
병력,8
법,8
대본영,8
실력,8
빌,8
기회,8
삼국시대,8
도장,8
소,8
카,8
직전,8
옥보,8
1894년,8
까지도,8
가서,8
몽골,8
더불어,8
안정,8
)',8
일어났다,8
〈,8
이자,8
미로,8
권위,8
아,8
청동기,8
중도파,8
구분,8
설명,8
도입,8
기분,8
사회주의,8
》〈,8
책,7
장군,7
일이,7
문헌,7
한민당,7
지세,7
은행,7
편입,7
난,7
걸쳐,7
사군,7
예,7
반감,7
성종,7
재,7
수탈,7
하지만,7
전문,7
됐다,7
컬렉션,7
심화,7
즉,7
자체,7
자치,7
무력,7
진압,7
칭,7
폐하,7
지향,7
운영,7
부부,7
국립,7
수단,7
포함,7
관료,7
’(,7
보,7
있어,7
치안,7
분단,7
익,7
추가,7
최고,7
변,7
교류,7
말기,7
근정전,7
쪽,7
되었지만,7
존호,7
정리,7
개량,7
중요한,7
둔,7
옹,7
만이,7
일어난,7
문물,7
석기,7
.',7
기자,7
니,7
30,7
자객,7
채용,7
내의,7
군정,7
해줄,7
다수,7
들이,7
대우,7
동학,7
창,7
따라서,7
인들,7
현장,7
부정,7
이르렀다,7
협의,7
경성,7
류노,7
미야,7
거주,7
협박,7
언어,7
자원,7
침투,7
4일,7
자리,7
작은,7
권한,7
시각,7
에게도,7
그대로,7
14일,7
감,7
중기,7
무기,7
유키,7
얻어,7
공동,7
광무,7
11일,7
확장,7
전신,7
세운,7
한글,7
1937년,7
1931년,7
수입,7
길,7
