Num,Verb,Class,first_jamo
1,가,27,ㄱ
2,가가대소하,3,ㄱ
3,가가하,9,ㄱ
4,가각하,9,ㄱ
5,가감되,28,ㄱ
6,가감하,3,ㄱ
7,가감하,9,ㄱ
8,가강하,9,ㄱ
9,가개통하,3,ㄱ
10,가거방하,9,ㄱ
11,가거지방하,9,ㄱ
12,가거하,3,ㄱ
13,가겍하,9,ㄱ
14,가격하,3,ㄱ
15,가견하,3,ㄱ
16,가결되,28,ㄱ
17,가결의되,28,ㄱ
18,가결의하,3,ㄱ
19,가결하,3,ㄱ
20,가경하,9,ㄱ
21,가계되,28,ㄱ
22,가계약되,28,ㄱ
23,가계약하,3,ㄱ
24,가계하,3,ㄱ
25,가고하,9,ㄱ
26,가공되,28,ㄱ
27,가공스럽,35,ㄱ
28,가공영사하,3,ㄱ
29,가공하,3,ㄱ
30,가공하,9,ㄱ
31,가공화되,28,ㄱ
32,가공화하,3,ㄱ
33,가과하,3,ㄱ
34,가관스럽,35,ㄱ
35,가관하,3,ㄱ
36,가광하,3,ㄱ
37,가괴하,9,ㄱ
38,가교하,3,ㄱ
39,가교하,9,ㄱ
40,가굴가굴하,9,ㄱ
41,가귀노름하,3,ㄱ
42,가귀대기하,3,ㄱ
43,가그극하,3,ㄱ
44,가극하,3,ㄱ
45,가극화되,28,ㄱ
46,가극화하,3,ㄱ
47,가글하,3,ㄱ
48,가금하,3,ㄱ
49,가금화되,28,ㄱ
50,가금화하,3,ㄱ
51,가급되,28,ㄱ
52,가급유하,3,ㄱ
53,가급인족하,9,ㄱ
54,가급하,3,ㄱ
55,가급하,9,ㄱ
56,가긍스럽,35,ㄱ
57,가긍하,9,ㄱ
58,가기하,3,ㄱ
59,가기하,9,ㄱ
60,가까이하,3,ㄱ
61,가깜하,9,ㄱ
62,가깝,35,ㄱ
63,가깝디가깝,35,ㄱ
64,가깝하,9,ㄱ
65,가꾸,28,ㄱ
66,가꾸러뜨리,28,ㄱ
67,가꾸러지,28,ㄱ
68,가꾸러트리,28,ㄱ
69,가난살이하,3,ㄱ
70,가난하,9,ㄱ
71,가남하,3,ㄱ
72,가납기언하,3,ㄱ
73,가납되,28,ㄱ
74,가납하,3,ㄱ
75,가냘프,11,ㄱ
76,가넝하,3,ㄱ
77,가녀리,43,ㄱ
78,가년스럽,35,ㄱ
79,가년하,3,ㄱ
80,가년하,9,ㄱ
81,가념하,9,ㄱ
82,가녑하,3,ㄱ
83,가녕스럽,35,ㄱ
84,가노롬하,9,ㄱ
85,가노롱하,9,ㄱ
86,가노소롱하,9,ㄱ
87,가노수룽하,9,ㄱ
88,가녹음되,28,ㄱ
89,가녹음하,3,ㄱ
90,가누,28,ㄱ
91,가눔하,3,ㄱ
92,가느다라하,9,ㄱ
93,가느다란하,9,ㄱ
94,가느다람하,9,ㄱ
95,가느다랗,37,ㄱ
96,가느다런하,9,ㄱ
97,가느다름하,9,ㄱ
98,가느다하,9,ㄱ
99,가느달하,9,ㄱ
100,가느닿,37,ㄱ
101,가느소롬하,9,ㄱ
102,가느수럼하,9,ㄱ
103,가느수룸하,9,ㄱ
104,가느수룽하,9,ㄱ
105,가느스럼하,9,ㄱ
106,가느스럽,35,ㄱ
107,가느스롱하,9,ㄱ
108,가느스름하,9,ㄱ
109,가느슥하,9,ㄱ
110,가느시룸하,9,ㄱ
111,가느직하,9,ㄱ
112,가느초롬하,9,ㄱ
113,가는가는하,9,ㄱ
114,가는귀먹,18,ㄱ
115,가늘,41,ㄱ
116,가늘가늘하,9,ㄱ
117,가늘다란하,9,ㄱ
118,가늘디가늘,41,ㄱ
119,가늘죽하,9,ㄱ
120,가늘하,9,ㄱ
121,가늠되,28,ㄱ
122,가늠하,3,ㄱ
123,가늣하,9,ㄱ
124,가능하,9,ㄱ
125,가닐가닐하,3,ㄱ
126,가닐거리,28,ㄱ
127,가닐대,28,ㄱ
128,가다듬,18,ㄱ
129,가다루,28,ㄱ
130,가다리하,3,ㄱ
131,가닥가닥하,9,ㄱ
132,가닥거리,28,ㄱ
133,가닥스럽,35,ㄱ
134,가닥질하,3,ㄱ
135,가닥하,9,ㄱ
136,가달거리하,3,ㄱ
137,가담되,28,ㄱ
138,가담하,3,ㄱ
139,가당찮,32,ㄱ
140,가당하,9,ㄱ
141,가대기하,3,ㄱ
142,가대평가하,3,ㄱ
143,가대하,3,ㄱ
144,가댁질하,3,ㄱ
145,가덕가덕하,9,ㄱ
146,가덕하,9,ㄱ
147,가도되,28,ㄱ
148,가도련하,3,ㄱ
149,가도멸괵하,3,ㄱ
150,가도하,3,ㄱ
151,가동가동하,3,ㄱ
152,가동거리,28,ㄱ
153,가동대,28,ㄱ
154,가동되,28,ㄱ
155,가동이치,28,ㄱ
156,가동이하,3,ㄱ
157,가동질하,3,ㄱ
158,가동하,3,ㄱ
159,가동화되,28,ㄱ
160,가동화하,3,ㄱ
161,가되,28,ㄱ
162,가두,28,ㄱ
163,가두판매되,28,ㄱ
164,가두판매하,3,ㄱ
165,가둥가둥하,3,ㄱ
166,가둥거리,28,ㄱ
167,가둥대,28,ㄱ
168,가둥질하,3,ㄱ
169,가드근하,9,ㄱ
170,가드락가드락하,3,ㄱ
171,가드락거리,28,ㄱ
172,가드락대,28,ㄱ
173,가드락하,3,ㄱ
174,가드락하,9,ㄱ
175,가득가득하,9,ㄱ
176,가득하,3,ㄱ
177,가득하,9,ㄱ
178,가든가든하,9,ㄱ
179,가든그뜨리,28,ㄱ
180,가든그리,28,ㄱ
181,가든그트리,28,ㄱ
182,가든하,9,ㄱ
183,가들가들하,3,ㄱ
184,가들거리,28,ㄱ
185,가들대,28,ㄱ
186,가들락가들락하,3,ㄱ
187,가들락거리,28,ㄱ
188,가들락하,9,ㄱ
189,가들랑가들랑하,3,ㄱ
190,가들랑거리,28,ㄱ
191,가들랑대,28,ㄱ
192,가들랑하,3,ㄱ
193,가들막가들막하,3,ㄱ
194,가들막가들막하,9,ㄱ
195,가들막거리,28,ㄱ
196,가들막대,28,ㄱ
197,가들막하,9,ㄱ
198,가등기하,3,ㄱ
199,가딱거리,28,ㄱ
200,가딱하,3,ㄱ
201,가뜩가뜩하,9,ㄱ
202,가뜩하,9,ㄱ
203,가뜬가뜬하,9,ㄱ
204,가뜬하,9,ㄱ
205,가라뜨,30,ㄱ
206,가라앉,17,ㄱ
207,가라앉히,28,ㄱ
208,가란하,9,ㄱ
209,가랄하,9,ㄱ
210,가랑가랑하,3,ㄱ
211,가랑가랑하,9,ㄱ
212,가랑거리,28,ㄱ
213,가랑대,28,ㄱ
214,가랑이지,28,ㄱ
215,가래,28,ㄱ
216,가래질하,3,ㄱ
217,가량가량하,9,ㄱ
218,가량맞,32,ㄱ
219,가량스럽,35,ㄱ
220,가량없,7,ㄱ
221,가량하,3,ㄱ
222,가량하,9,ㄱ
223,가레질하,3,ㄱ
224,가려내,28,ㄱ
225,가려듣,20,ㄱ
226,가려보,27,ㄱ
227,가려보이,28,ㄱ
228,가려워하,3,ㄱ
229,가려잡,17,ㄱ
230,가려하,9,ㄱ
231,가력되,28,ㄱ
232,가련스럽,35,ㄱ
233,가련하,9,ㄱ
234,가렬처절하,9,ㄱ
235,가렬하,9,ㄱ
236,가렵,35,ㄱ
237,가령하,3,ㄱ
238,가로거치,28,ㄱ
239,가로걸,16,ㄱ
240,가로걸리,28,ㄱ
241,가로꿰지,28,ㄱ
242,가로놓,17,ㄱ
243,가로놓이,28,ㄱ
244,가로누이,28,ㄱ
245,가로눕,22,ㄱ
246,가로눕히,28,ㄱ
247,가로닫,19,ㄱ
248,가로들,16,ㄱ
249,가로뜨기하,3,ㄱ
250,가로막,17,ㄱ
251,가로막기하,3,ㄱ
252,가로막히,28,ㄱ
253,가로맡,17,ㄱ
254,가로물,16,ㄱ
255,가로물리,28,ㄱ
256,가로새,28,ㄱ
257,가로서,28,ㄱ
258,가로세우,28,ㄱ
259,가로써하,3,ㄱ
260,가로썰,16,ㄱ
261,가로쓰,30,ㄱ
262,가로쓰기하,3,ㄱ
263,가로안,17,ㄱ
264,가로젓,24,ㄱ
265,가로쥐,28,ㄱ
266,가로지,43,ㄱ
267,가로지르,26,ㄱ
268,가로질리,28,ㄱ
269,가로찢,18,ㄱ
270,가로차,27,ㄱ
271,가로채,28,ㄱ
272,가로채이,28,ㄱ
273,가로타,27,ㄱ
274,가로퍼지,28,ㄱ
275,가로하,3,ㄱ
276,가로흔들,16,ㄱ
277,가록되,28,ㄱ
278,가록하,3,ㄱ
279,가론하,3,ㄱ
280,가롯하,3,ㄱ
281,가루,28,ㄱ
282,가루내기하,3,ㄱ
283,가루받이하,3,ㄱ
284,가루하,3,ㄱ
285,가류하,3,ㄱ
286,가르,25,ㄱ
287,가르닥하,9,ㄱ
288,가르랑가르랑하,3,ㄱ
289,가르랑거리,28,ㄱ
290,가르랑대,28,ㄱ
291,가르렁거리,28,ㄱ
292,가르륵하,3,ㄱ
293,가르삭삭하,3,ㄱ
294,가르스름하,9,ㄱ
295,가르치,28,ㄱ
296,가름하,3,ㄱ
297,가리,28,ㄱ
298,가리끼,28,ㄱ
299,가리단죽하,3,ㄱ
300,가리방사하,9,ㄱ
301,가리방상하,9,ㄱ
302,가리방하,9,ㄱ
303,가리벤하,3,ㄱ
304,가리산지리산하,3,ㄱ
305,가리어지,28,ㄱ
306,가리이,28,ㄱ
307,가리질하,3,ㄱ
308,가리키,28,ㄱ
309,가리하,3,ㄱ
310,가린스럽,35,ㄱ
311,가린하,9,ㄱ
312,가마노르께하,9,ㄱ
313,가마득하,9,ㄱ
314,가마뜩하,9,ㄱ
315,가마말쑥하,9,ㄱ
316,가마무트름하,9,ㄱ
317,가마반드르하,9,ㄱ
318,가마반지르하,9,ㄱ
319,가마발갛,37,ㄱ
320,가마아득하,9,ㄱ
321,가마우리하,9,ㄱ
322,가마잡잡하,9,ㄱ
323,가마푸르레하,9,ㄱ
324,가마하,3,ㄱ
325,가막가막하,3,ㄱ
326,가막소살이하,3,ㄱ
327,가만가만하,9,ㄱ
328,가만두,28,ㄱ
329,가만있,1,ㄱ
330,가만하,9,ㄱ
331,가말,15,ㄱ
332,가망되,28,ㄱ
333,가망하,3,ㄱ
334,가망하,9,ㄱ
335,가맣,37,ㄱ
336,가매립하,3,ㄱ
337,가매장되,28,ㄱ
338,가매장하,3,ㄱ
339,가매지,28,ㄱ
340,가매하,3,ㄱ
341,가맹되,28,ㄱ
342,가맹하,3,ㄱ
343,가메뜩하,9,ㄱ
344,가메아뜩하,9,ㄱ
345,가면제되,28,ㄱ
346,가면제하,3,ㄱ
347,가면하,3,ㄱ
348,가멸,41,ㄱ
349,가멸차,42,ㄱ
350,가멸하,9,ㄱ
351,가모롱하,9,ㄱ
352,가모소롱하,9,ㄱ
353,가모속속하,9,ㄱ
354,가모초초하,9,ㄱ
355,가모하,3,ㄱ
356,가무께하,9,ㄱ
357,가무끄름하,9,ㄱ
358,가무대대하,9,ㄱ
359,가무댕댕하,9,ㄱ
360,가무뜨리,28,ㄱ
361,가무러지,28,ㄱ
362,가무러치,28,ㄱ
363,가무레하,9,ㄱ
364,가무리,28,ㄱ
365,가무수룸하,9,ㄱ
366,가무숙숙하,9,ㄱ
367,가무스레하,9,ㄱ
368,가무스름하,9,ㄱ
369,가무슥하,9,ㄱ
370,가무잡잡하,9,ㄱ
371,가무족족하,9,ㄱ
372,가무총총하,9,ㄱ
373,가무칙칙하,9,ㄱ
374,가무퇴퇴하,9,ㄱ
375,가무트름하,9,ㄱ
376,가무트리,28,ㄱ
377,가무티하,9,ㄱ
378,가무파리하,9,ㄱ
379,가무하,3,ㄱ
380,가물,16,ㄱ
381,가물가물하,3,ㄱ
382,가물가물하,9,ㄱ
383,가물거리,28,ㄱ
384,가물대,28,ㄱ
385,가뭇가뭇하,9,ㄱ
386,가뭇없,7,ㄱ
387,가뭇하,9,ㄱ
388,가미되,28,ㄱ
389,가미용하,9,ㄱ
390,가미하,3,ㄱ
391,가민하,9,ㄱ
392,가밀가밀하,3,ㄱ
393,가밋가밋하,9,ㄱ
394,가박가박하,3,ㄱ
395,가박거리,28,ㄱ
396,가박대,28,ㄱ
397,가박하,3,ㄱ
398,가반하,3,ㄱ
399,가발되,28,ㄱ
400,가발하,3,ㄱ
401,가방면되,28,ㄱ
402,가방면하,3,ㄱ
403,가베또롱하,9,ㄱ
404,가벤또롱하,9,ㄱ
405,가볍,35,ㄱ
406,가볍디가볍,35,ㄱ
407,가보잡기하,3,ㄱ
408,가보하,3,ㄱ
409,가복되,28,ㄱ
410,가복하,3,ㄱ
411,가봉되,28,ㄱ
412,가봉하,3,ㄱ
413,가부장화하,3,ㄱ
414,가부좌하,3,ㄱ
415,가부취결하,3,ㄱ
416,가분가분하,9,ㄱ
417,가분하,3,ㄱ
418,가분하,9,ㄱ
419,가불가불하,3,ㄱ
420,가불가불하,9,ㄱ
421,가불거리,28,ㄱ
422,가불대,28,ㄱ
423,가불딱가불딱하,3,ㄱ
424,가불딱거리,28,ㄱ
425,가불딱대,28,ㄱ
426,가불딱하,3,ㄱ
427,가불짝가불짝하,3,ㄱ
428,가불짝거리,28,ㄱ
429,가불짝대,28,ㄱ
430,가불짝하,3,ㄱ
431,가불하,3,ㄱ
432,가붓가붓하,9,ㄱ
433,가붓하,9,ㄱ
434,가빈친로하,9,ㄱ
435,가빈하,3,ㄱ
436,가빈하,9,ㄱ
437,가빠지,28,ㄱ
438,가뿍가뿍하,9,ㄱ
439,가뿍하,9,ㄱ
440,가뿐가뿐하,9,ㄱ
441,가뿐하,9,ㄱ
442,가뿟가뿟하,9,ㄱ
443,가뿟하,9,ㄱ
444,가쁘,11,ㄱ
445,가사하,9,ㄱ
446,가산되,28,ㄱ
447,가산하,3,ㄱ
448,가살궂,44,ㄱ
449,가살스럽,35,ㄱ
450,가살지,43,ㄱ
451,가상되,28,ㄱ
452,가상스럽,35,ㄱ
453,가상하,3,ㄱ
454,가상하,9,ㄱ
455,가새지르,26,ㄱ
456,가새질하,3,ㄱ
457,가서명되,28,ㄱ
458,가서명하,3,ㄱ
459,가서하,3,ㄱ
460,가석방되,28,ㄱ
461,가석방하,3,ㄱ
462,가석하,3,ㄱ
463,가석하,9,ㄱ
464,가선하,3,ㄱ
465,가설계하,3,ㄱ
466,가설되,28,ㄱ
467,가설하,3,ㄱ
468,가성화하,3,ㄱ
469,가세질하,3,ㄱ
470,가세하,3,ㄱ
471,가세하,9,ㄱ
472,가소롭,35,ㄱ
473,가소하,3,ㄱ
474,가소하,9,ㄱ
475,가소화되,28,ㄱ
476,가소화하,3,ㄱ
477,가속되,28,ㄱ
478,가속하,3,ㄱ
479,가속화되,28,ㄱ
480,가속화하,3,ㄱ
481,가솔하,3,ㄱ
482,가쇄하,3,ㄱ
483,가수되,28,ㄱ
484,가수스럽,35,ㄱ
485,가수하,3,ㄱ
