token,frequency
싶어,13
거야,13
나를,13
같아,11
까지,11
계속,10
있는,10
생각,10
이야,9
내게,9
되는,9
우리,8
모든,8
읽고,8
되어,8
모습,7
없는,7
좋아,7
혼자,7
지금,7
그러면,6
좋을,6
깨어있게,6
괴롭게,6
가고,6
사람,6
사랑,6
이런,6
순간,6
다른,6
언젠가,6
반복,6
있으면,6
술잔,5
채워,5
많이,5
맞춰,5
아무,5
음악,5
그저,5
하고,5
아니,5
대로,4
보면,4
그래서,4
매일,4
어느,4
모르겠어,4
문장,4
와의,4
같은,4
스타일,4
로는,4
이대,4
천천히,4
높은,4
오겠지만,4
영화,4
잖니,4
괜찮아,4
지겨워질,4
않는,4
오늘,4
있을래,4
그리고,4
싶지,4
해져,4
닳아,4
솔직히,4
찢어질,4
없어질,4
그럴,4
않아요,3
사랑스러워,3
외로움,3
그런,3
비비,3
설렘이,3
화살,3
큐피드,3
부신,3
두고,3
걱정,3
추억,3
에게,3
맡겨,3
다시,3
넘겨볼,3
있게,3
나도,3
하지는,3
듣고,3
꺼진,3
당겨진,3
시작,3
들어와,3
했어,3
우울한,3
가득해,3
보이는,3
비스듬히,3
가득,3
페이지,3
함께,3
채울래,3
하늘,3
바보,2
처럼,2
모르지,2
엔딩,2
하나,2
결국,2
에서,2
일기,2
사실,2
마지막,2
아냐,2
부족한데,2
소설가,2
문학,2
그걸,2
내버려,2
그냥,2
우아,2
세상,2
없어,2
원래,2
두지,2
가까이,2
걷히고,2
어둠,2
같이,2
오길,2
위해,2
오늘이,2
믿어,2
청춘,2
뜨이게,2
질겅질겅,2
껄렁껄렁,2
없어져도,2
헤매고,2
아름다운,2
써내려,2
가자,2
사이,2
빌딩,2
나다워,2
라도,2
봐도,2
않고,2
놓지,2
지키잖아,2
거닐면,2
대도,2
트이게,2
하네,2
놓친,2
있었어,2
언제나,2
찾아,2
거리,2
기어다니,2
천장,2
파도,2
앉아,2
아마,2
바닥,2
울겠지만,2
나쁘지만은,2
그닥,2
보던,2
기다려주지,2
듣던,2
그리워하지,2
않을,2
떠나면,2
괜히,2
괜찮아지게,2
그러니까,2
않아,2
할게,2
거니,2
않아도,2
어때,2
건데,2
떠올리지,2
아무런,2
그랬을,2
보고,2
평생,2
두지마,2
제발,2
아래,1
호밀,1
파수,1
헤밍웨이,1
요조,1
시가,1
받아,1
적히고,1
들고,1
다닐,1
노랜,1
깊이,1
박히고,1
모두,1
듣게,1
노르웨이,1
데미안,1
설명,1
가지,1
달이,1
항상,1
어쩌란,1
미련,1
다가오지,1
괜찮으니까,1
어차피,1
떠나갈,1
라면,1
머물러줘,1
누구,1
떠나지,1
말아줘,1
믿겠어,1
영원히,1
머문다는,1
신경질,1
이고,1
이상한,1
가지마,1
뜨고,1
싶은,1
마음,1
잃고,1
도망쳐요,1
이유,1
먹고,1
자라나요,1
수레바퀴,1
말고,1
단순하게,1
얼마,1
우린,1
더럽게,1
누울,1
여길,1
시간,1
쉬는,1
모르고,1
뛰잖니,1
도망칠,1
해볼,1
누군가,1
출래,1
잠깐,1
제일,1
비워,1
감고,1
상처,1
내고,1
기다려,1
왔어,1
어깰,1
깨물어,1
들을,1
어리고,1
자유로운,1
나쁜,1
기준,1
어디서,1
배워,1
취할,1
거고,1
이라도,1
해줘,1
여우,1
해봐,1
복잡하게,1
버거운,1
들어,1
흔적,1
무서워질,1
머릴,1
쓸어,1
넘기면,1
이별,1
궁금해질,1
달력,1
보면서,1
에게도,1
함께라,1
많은,1
준비,1
봤어,1
오기,1
마냥,1
순탄,1
하진,1
않았지,1
빠져라,1
기다렸어,1
보다도,1
배는,1
힘들었을,1
라고,1
견뎌줘서,1
고마워,1
한번,1
태어났네,1
쥐고서,1
그렇게,1
요정,1
일어나,1
원하는,1
이끄는,1
찢어,1
입은,1
바진,1
헐렁해,1
살짝,1
보인,1
오픈,1
최애,1
힙합,1
공유,1
환상,1
망쳐,1
느끼는,1
무대,1
익숙한,1
반전,1
자유로워,1
갖고서,1
모조리,1
버텨,1
가짜,1
두운,1
위로,1
허상,1
이여,1
남은,1
새벽,1
두려워,1
웅크리면,1
여긴,1
울적,1
아주,1
아찔한,1
짜릿한,1
언제,1
둘이서,1
달콤한,1
나누자,1
갈래,1
랑은,1
어디,1
내려오네,1
걸어갈,1
좋아한다,1
해줄래,1
꿈결,1
이야기,1
조명,1
주인공,1
될게,1
렌즈,1
가끔,1
어쩌면,1
행성,1
이방인,1
일지,1
모른다고,1
쓸쓸,1
끝없이,1
높이,1
올라가,1
구름,1
파묻혀도,1
떨어져,1
버려도,1
뜻대로,1
떠나가고,1
한껏,1
차려,1
입고,1
나서면,1
무조건,1
오지,1
맘대로,1
넘어갈,1
넘기고,1
떨어질,1
다가갈래,1
장난,1
스레,1
깜짝,1
놀라게,1
하는,1
스며들래,1
자연스레,1
원해,1
데이트,1
근대,1
담아,1
했던,1
절대,1
영원할,1
없고,1
라디오,1
켜면,1
슬픈,1
노래,1
나오는,1
나와,1
숭숭,1
일어난,1
없이,1
나서,1
걷다,1
니까,1
죄다,1
걷던,1
길이,1
잖아,1
주저앉아,1
한숨,1
이름,1
얼굴,1
아껴주지,1
질투,1
섞인,1
열고,1
새어,1
나가요,1
나는요,1
싫어하고,1
있어요,1
처음,1
부터,1
